iter	Passed	Remaining
0	1	128
1	2	117
2	3	122
3	4	112
4	5	109
5	6	107
6	7	104
7	8	103
8	11	117
9	14	127
10	15	123
11	16	120
12	17	119
13	18	116
14	20	113
15	21	111
16	22	108
17	23	106
18	24	104
19	26	105
20	27	103
21	28	102
22	29	100
23	31	98
24	32	96
25	33	95
26	34	93
27	35	92
28	36	90
29	38	88
30	39	88
31	40	86
32	42	85
33	43	83
34	44	82
35	45	80
36	46	79
37	47	78
38	48	76
39	50	75
40	51	73
41	51	71
42	52	70
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	66	54
55	67	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
